Order_ID,Date,Year,Month,Product,Category,Region,Quantity,Sales,Profit,Profit_Margin,Total_Sales,Sales_Category,Customer_Type
ORD00133,2025-05-25,2025,May,Keyboard,Electronics,East,7,10637.41,3045.65,28.63,10637.41,Medium,New
ORD00248,2025-02-22,2025,February,Chair,Furniture,East,10,119509.8,12445.39,10.41,119509.8,High,Returning
ORD00225,2025-03-24,2025,March,Bookshelf,Furniture,West,8,44007.36,5920.38,13.45,44007.36,High,Returning
ORD00025,2025-07-24,2025,July,File Folder,Office Supplies,South,10,1230.9,139.76,11.35,1230.9,Low,Returning
ORD00058,2025-01-13,2025,January,File Folder,Office Supplies,South,8,855.36,253.32,29.62,855.36,Low,New
ORD00066,2025-10-08,2025,October,Notebook,Office Supplies,East,7,1512.7,485.34,32.08,1512.7,Low,Returning
ORD00003,2025-08-18,2025,August,Headphones,Electronics,West,9,35374.5,7724.85,21.84,35374.5,High,New
ORD00180,2025-07-31,2025,July,Notebook,Office Supplies,North,9,2046.78,234.37,11.45,2046.78,Low,New
ORD00210,2025-10-20,2025,October,Bookshelf,Furniture,North,9,78322.5,21278.37,27.17,78322.5,High,Returning
ORD00095,2025-08-12,2025,August,Tablet,Electronics,West,9,263785.23,34562.39,13.1,263785.23,High,Returning
ORD00242,2025-05-31,2025,May,Tablet,Electronics,West,3,33786.03,9556.62,28.29,33786.03,High,New
ORD00170,2025-04-30,2025,April,Printer,Office Supplies,South,10,68598.6,20507.23,29.89,68598.6,High,New
ORD00004,2025-06-24,2025,June,Bookshelf,Furniture,South,5,38806.5,2015.98,5.19,38806.5,High,Returning
ORD00097,2025-09-11,2025,September,Headphones,Electronics,East,8,30105.76,7540.18,25.05,30105.76,High,New
ORD00201,2025-02-15,2025,February,Laptop,Electronics,West,6,251249.58,83988.79,33.43,251249.58,High,Returning
ORD00023,2025-09-30,2025,September,Headphones,Electronics,West,10,57241.4,4332.95,7.57,57241.4,High,New
ORD00127,2025-01-27,2025,January,Laptop,Electronics,West,4,222950.32,52792.44,23.68,222950.32,High,Returning
ORD00075,2025-09-01,2025,September,File Folder,Office Supplies,West,9,1114.92,359.07,32.21,1114.92,Low,New
ORD00089,2025-03-25,2025,March,Headphones,Electronics,South,8,35497.76,9941.84,28.01,35497.76,High,New
ORD00079,2025-02-01,2025,February,Headphones,Electronics,West,2,5914.62,882.84,14.93,5914.62,Medium,Returning
ORD00154,2025-08-14,2025,August,Printer,Office Supplies,North,3,35174.55,11291.77,32.1,35174.55,High,Returning
