Order_ID,Date,Product,Category,Region,Sales,Quantity,Profit,Customer_Type
ORD00133,2025-05-25,Keyboard,Electronics,East,10637.41,7,3045.65,New
ORD00248,2025-02-22,Chair,Furniture,East,119509.8,10,12445.39,Returning
ORD00225,2025-03-24,Bookshelf,Furniture,West,44007.36,8,5920.38,Returning
ORD00025,2025-07-24,File Folder,Office Supplies,South,1230.9,10,139.76,Returning
ORD00058,2025-01-13,File Folder,Office Supplies,South,855.36,8,253.32,New
ORD00066,2025-10-08,Notebook,Office Supplies,East,1512.7,7,485.34,Returning
ORD00003,2025-08-18,Headphones,Electronics,West,35374.5,9,7724.85,New
ORD00180,2025-07-31,Notebook,Office Supplies,,2046.78,9,234.37,New
ORD00210,2025-10-20,Bookshelf,Furniture,North,78322.5,9,21278.37,Returning
ORD00095,2025-08-12,Tablet,Electronics,West,263785.23,9,34562.39,Returning
ORD00242,2025-05-31,Tablet,Electronics,West,33786.03,3,9556.62,New
ORD00170,2025-04-30,Printer,Office Supplies,South,68598.6,10,20507.23,New
ORD00004,2025-06-24,Bookshelf,Furniture,South,38806.5,5,2015.98,Returning
ORD00097,2025-09-11,Headphones,Electronics,East,30105.76,8,7540.18,New
ORD00201,2025-02-15,Laptop,Electronics,West,251249.58,6,83988.79,Returning
ORD00023,2025-09-30,Headphones,Electronics,West,57241.4,10,4332.95,New
ORD00127,2025-01-27,Laptop,Electronics,West,222950.32,4,52792.44,Returning
ORD00075,2025-09-01,File Folder,Office Supplies,West,1114.92,9,359.07,New
ORD00089,2025-03-25,Headphones,Electronics,South,35497.76,8,9941.84,New
ORD00079,2025-02-01,Headphones,Electronics,West,5914.62,2,882.84,Returning
ORD00154,2025-08-14,Printer,Office Supplies,North,35174.55,3,11291.77,Returning
ORD00134,2025-08-17,Pen,Office Supplies,West,426.85,5,95.6,New
ORD00063,2025-08-09,Headphones,Electronics,South,5154.05,5,931.94,Returning
ORD00123,2025-06-14,File Folder,Office Supplies,West,1945.52,8,371.6,Returning
ORD00100,2025-08-18,Pen,Office Supplies,West,377.79,7,104.82,Returning
ORD00121,2025-03-31,Headphones,Electronics,East,38530.4,10,2166.32,New
ORD00161,2025-11-28,Headphones,Electronics,East,7441.04,8,2345.94,New
ORD00217,2025-12-10,Bookshelf,Furniture,East,9024.56,2,1471.04,New
ORD00112,2025-11-09,Table,Furniture,East,79862.1,5,27712.9,New
ORD00051,2025-02-08,Pen,Office Supplies,North,477.2,8,85.09,New
ORD00012,2025-10-18,Headphones,Electronics,North,4986.24,1,849.4,New
ORD00205,2025-11-18,Tablet,Electronics,North,69727.2,5,16087.44,New
ORD00216,2025-03-08,Smartphone,Electronics,East,405353.2,10,131749.49,Returning
ORD00222,2025-07-30,Printer,Office Supplies,West,138040.0,10,13757.31,New
ORD00081,2025-09-07,Laptop,Electronics,West,281667.06,6,47037.27,New
ORD00071,2025-05-05,Chair,Furniture,West,39443.5,10,10212.17,Returning
ORD00158,2025-02-16,Smartphone,Electronics,West,133285.53,3,15685.63,Returning
ORD00188,2025-01-15,Printer,Office Supplies,North,115560.9,10,28059.31,Returning
ORD00220,2025-12-05,Tablet,Electronics,North,34629.9,3,10504.24,New
ORD00053,2025-04-18,Laptop,Electronics,North,247930.3,5,81798.75,Returning
ORD00110,2025-05-08,Notebook,Office Supplies,East,79.45,1,23.31,New
ORD00008,2025-02-21,Smartphone,Electronics,North,40434.32,1,11399.26,New
ORD00061,2025-11-02,Keyboard,Electronics,North,,3,2320.67,New
ORD00092,2025-09-30,Bookshelf,Furniture,North,15350.96,2,3373.83,Returning
ORD00091,2025-12-17,Smartphone,Electronics,North,416964.2,10,99309.5,Returning
ORD00099,2025-05-04,Bookshelf,Furniture,South,30563.2,5,6265.09,New
ORD00155,2025-08-01,Laptop,Electronics,East,495944.5,10,,Returning
ORD00009,2025-07-01,Chair,Furniture,South,32670.5,5,9808.77,Returning
ORD00085,2025-05-23,Keyboard,Electronics,East,10374.42,7,1933.89,Returning
ORD00028,2025-09-21,Pen,Office Supplies,East,30.6,1,9.84,New
ORD00223,2025-10-01,Monitor,Electronics,West,86175.32,4,20094.24,New
ORD00067,2025-08-15,File Folder,Office Supplies,East,96.85,1,10.95,Returning
ORD00230,2025-01-15,Desk,Furniture,East,46634.7,6,16245.55,New
ORD00235,2025-11-20,Printer,Office Supplies,West,97568.1,10,8123.26,New
ORD00178,2025-11-02,Tablet,Electronics,East,25047.66,2,5943.69,Returning
